Symbol,"Company Name","My Rating","Volatility Rankings","Quantitative Grade","Fundamental Grade","Sales Growth","Operating Margin Growth","Earnings Growth","Earnings Revisions","Earnings Surprises","Earnings Momentum","Cash Flow","Return on Equity","Market Cap ($B)","Current P/E","Dividend Yield (%)","52-Week High ($)","52-Week Low ($)","Last Year EPS ($)","Last Qtr. Surprise (%)","Next Qtr. Sales (M)","Next Qtr. Sales Growth (%)","Next Qtr. EPS ($)","Next Qtr. Earnings Growth (%)","Est. Long-Term Growth (%)","Company Profile",Industry,"No. of Companies in Industry","Market Cap Rank","Estimated Sales Rank","Earnings Rank","Long-Term Growth Rank"
CPB,"Campbell Soup Company",A,Conservative,A,B,C,B,B,B,B,C,C,A,15.96,20.30,3.00,58.00,42.00,0.70,8.40,2.00,5.10,0.65,-7.03,5.30,"Manufactures and markets convenience food products, such as soups and sauces, pasta, broths, vegetable-beverages, cookies and biscuits","Food: Major Diversified",11,3,6,4,6
CPE,"Callon Petroleum Company",D,Moderate,D,C,D,B,C,F,D,F,B,A,1.83,1.50,0.00,63.00,30.00,3.43,-1.70,566.10,-27.20,2.58,-24.89,-5.80,"Engages in exploration, development, acquisition and production of oil and natural gas properties","Oil & Gas Production",47,23,27,18,28
CPRT,"Copart, Inc.",B,Conservative,A,B,C,B,B,B,C,C,C,A,33.23,31.20,0.00,71.00,51.00,0.59,5.90,1.00,6.80,0.64,8.97,15.00,"Provides online auctions and vehicle remarketing services","Miscellaneous Commercial Services",167,6,51,17,38
CPT,"Camden Property Trust",F,Conservative,F,C,B,D,D,A,A,F,D,B,11.76,16.96,3.00,175.21,101.70,0.42,34.11,377.51,21.24,0.33,-21.34,-10.46,"Operates as a real estate investment trust, which engages in the ownership, management, development, acquisition, and construction of multifamily apartment communities","Real Estate Investment Trusts",209,26,37,74,120
CQP,"Cheniere Energy Partners, L.P.",B,Conservative,B,B,A,A,A,D,A,B,B,F,20.88,13.30,7.00,62.00,41.00,0.33,158.80,2.00,-15.20,0.98,197.68,-6.10,"Develops, owns, transports, stores and operates the liquefied natural gas","Gas Distributors",20,1,15,2,17
CRI,"Carter's, Inc.",D,Conservative,D,C,F,B,C,D,A,F,B,A,2.65,11.00,4.00,97.00,64.00,1.66,33.80,652.20,-16.50,0.64,-61.27,4.00,"Provides apparel and related products for babies and young children","Apparel/Footwear Retail",33,9,28,19,19
CRM,"Salesforce, Inc.",B,Conservative,B,B,B,C,C,A,B,A,C,C,186.51,896.00,0.00,221.00,128.00,0.98,23.30,8.00,9.70,1.58,61.67,25.70,"Develops on-demand customer relationship management software technology","Packaged Software",336,3,151,15,100
CSGP,"CoStar Group, Inc.",B,Conservative,B,C,C,B,B,F,B,B,C,C,26.43,72.20,0.00,84.00,54.00,0.31,7.70,579.40,12.30,0.25,-17.92,16.80,"Provides information, analytics and marketing services","Internet Software/Services",119,7,19,20,32
CTAS,"Cintas Corporation",B,Conservative,A,C,C,B,B,B,C,F,C,A,43.97,35.20,1.00,464.00,347.00,2.69,3.00,2.00,9.80,3.04,12.86,12.00,"Provides rental and servicing of uniforms and other garments","Other Consumer Services",52,3,19,6,24
CTRA,"Coterra Energy Inc.",B,Conservative,B,C,D,B,B,F,C,F,D,A,17.82,4.60,10.00,36.00,23.00,1.01,4.10,1.00,-1.70,0.74,-26.73,-4.90,"Explores for, produces, stores, transports, purchases, and markets natural gas","Integrated Oil",48,15,20,27,28
CTSH,"Cognizant Technology Solutions Corporation Class A",D,Conservative,F,C,D,C,C,D,D,D,B,B,29.42,13.10,2.00,93.00,52.00,1.08,-4.10,4.00,-1.90,1.05,-2.69,6.00,"Provides information technology, consulting and business process outsourcing services","Information Technology Services",109,8,70,33,58
CTVA,"Corteva Inc",B,Conservative,B,C,C,F,F,D,A,C,D,C,40.39,36.10,1.00,67.00,51.00,0.97,208.30,4.00,3.60,0.94,-3.53,13.70,"Manufactures agricultural products","Chemicals: Agricultural",22,1,4,1,5
CUBE,CubeSmart,B,Conservative,B,B,B,B,A,A,B,B,D,B,10.41,35.96,4.00,54.46,37.20,0.17,21.37,257.23,7.82,0.33,91.74,8.50,"Operates as a real estate investment trust which focuses on the ownership, operation, management, acquisition and development of self-storage properties","Real Estate Investment Trusts",209,32,90,6,46
CUZ,"Cousins Properties Incorporated",F,Conservative,F,C,D,D,D,A,A,C,D,C,2.95,17.57,5.00,41.51,19.50,0.19,36.03,194.80,6.32,0.13,-31.80,-2.26,"Operates as a real estate investment trust which specializes in office properties","Real Estate Investment Trusts",209,67,102,88,89
CVS,"CVS Health Corporation",D,Conservative,F,C,C,A,A,C,C,D,C,C,96.68,23.80,2.00,109.00,74.00,2.22,3.50,80.00,5.40,2.11,-4.80,5.00,"Operates as an integrated pharmacy health care provider","Drugstore Chains",4,1,1,1,1
CVX,"Chevron Corporation",B,Conservative,B,C,B,B,B,D,D,F,D,A,291.76,8.30,3.00,188.00,136.00,3.36,-5.50,50.00,-7.70,3.58,6.65,-7.80,"Explores and refines oil and natural gas","Integrated Oil",48,2,27,14,30
CWK,"Cushman & Wakefield Plc",D,Conservative,F,C,D,D,D,D,C,C,B,B,2.38,12.25,0.00,21.09,10.40,0.48,1.72,1.00,-11.53,0.26,-45.45,7.24,"Provides real estate services","Real Estate Development",46,8,15,7,7
D,"Dominion Energy Inc",D,Conservative,F,D,D,F,F,D,C,C,F,C,46.26,51.70,4.00,88.00,53.00,1.18,2.30,4.00,5.30,1.10,-6.86,-1.10,"Produces and distributes electricity, natural gas and related services","Electric Utilities",70,5,12,31,53
DAR,"Darling Ingredients Inc",D,Conservative,D,C,B,C,B,D,F,D,C,A,8.46,11.80,0.00,87.00,53.00,1.14,-29.00,1.00,21.20,1.21,5.82,15.20,"Recycles and process meat by-products","Food: Specialty/Candy",43,10,4,8,12
DAVA,"Endava Plc Sponsored ADR Class A",D,Conservative,D,C,C,C,C,D,D,C,C,A,2.62,32.90,0.00,138.00,64.00,0.59,0.00,243.60,17.70,0.66,13.16,23.30,"Provides information technology services","Information Technology Services",109,43,10,16,27
DE,"Deere & Company",B,Conservative,B,B,B,A,A,A,B,F,C,A,114.23,16.53,1.08,445.61,289.14,6.81,18.18,14827.33,23.21,8.50,24.79,13.95,"Manufactures and sells agricultural, industrial, commercial and consumer equipment","Trucks/Construction/Farm Machinery",36,1,6,8,13
DECK,"Deckers Outdoor Corporation",A,Conservative,A,B,C,B,B,B,B,F,B,A,10.87,22.30,0.00,434.00,227.00,2.51,9.20,719.70,-2.20,2.64,5.29,16.60,"Designs, markets and distributes footwear, apparel and accessories",Apparel/Footwear,38,2,17,5,12
DEI,"Douglas Emmett, Inc",F,Conservative,F,C,C,B,B,F,C,A,F,C,2.00,20.75,7.00,34.50,11.40,0.14,5.62,255.23,6.84,0.11,-23.30,-17.77,"Operates as a real estate investment trust which owns and operates office and multifamily properties","Real Estate Investment Trusts",209,84,99,76,136
DHI,"D.R. Horton, Inc.",B,Conservative,A,C,D,C,C,D,B,F,B,A,33.45,6.00,1.00,103.00,61.00,4.03,22.70,6.00,-19.70,1.92,-52.40,-8.70,"Engages in construction and sale of single family homes",Homebuilding,27,2,17,17,14
DINO,"HF Sinclair Corporation",B,Conservative,A,C,A,C,C,C,D,F,B,A,9.30,3.40,2.00,66.00,36.00,0.99,-17.50,7.00,-3.70,1.91,92.76,-24.20,"Operates oil refineries, pipelines and exploration services","Oil Refining/Marketing",11,5,3,6,5
DIS,"Walt Disney Company",D,Conservative,D,C,C,B,B,C,A,C,D,C,170.18,51.20,0.00,142.00,84.00,1.08,29.00,21.00,7.80,0.97,-9.84,24.00,"Owns and operates television and radio production, distribution & broadcasting stations, direct-to-consumer services, amusement parks and hotels",Movies/Entertainment,46,1,16,7,10
DISH,"DISH Network Corporation Class A",D,Conservative,F,C,D,A,A,F,A,D,C,B,4.83,2.50,0.00,34.00,9.00,0.68,190.10,4.00,-5.70,0.41,-39.19,-66.80,"Provides pay television and wireless internet services","Cable/Satellite TV",10,7,7,4,6
DKS,"Dick's Sporting Goods, Inc.",B,Conservative,A,C,C,C,C,A,C,F,C,A,11.65,13.52,1.54,149.73,71.24,2.85,1.60,2810.39,4.08,3.07,7.79,7.96,"Retails sporting goods equipment, apparel and footwear","Specialty Stores",80,8,27,8,21
DLR,"Digital Realty Trust, Inc.",D,Conservative,D,D,F,F,F,D,F,D,D,C,29.32,88.60,5.00,152.67,89.20,0.22,-107.64,1.00,22.16,0.22,0.24,7.86,"Operates as a real estate investment trust which owning, acquiring, developing and operating data centers","Real Estate Investment Trusts",209,9,35,44,49
DORM,"Dorman Products, Inc.",D,Conservative,D,C,B,D,D,C,D,D,C,B,2.58,21.30,0.00,117.00,74.00,1.29,-3.70,480.90,19.80,0.92,-28.88,11.30,"Manufactures and distributes automotive parts","Automotive Aftermarket",5,3,1,3,3
DOX,"Amdocs Limited",B,Conservative,A,C,C,B,C,B,B,D,C,B,10.99,20.50,2.00,97.00,77.00,1.54,8.20,1.00,6.50,1.47,-4.54,10.10,"Provides computer systems integration for the telecommunications industry","Information Technology Services",109,17,46,35,48
DPZ,"Domino's Pizza, Inc.",D,Conservative,D,C,D,B,B,D,B,F,C,D,11.00,24.77,1.27,416.95,294.01,2.50,11.87,1035.33,2.39,2.70,7.87,10.08,"Operates specialty restaurants",Restaurants,51,8,36,17,25
DRI,"Darden Restaurants, Inc.",B,Conservative,A,C,C,C,B,B,C,F,D,A,18.10,20.48,3.11,150.36,111.84,1.93,5.79,2730.90,11.52,2.24,15.94,8.75,"Owns and operates casual-dining restaurants",Restaurants,51,7,17,13,26
DT,"Dynatrace, Inc.",B,Conservative,B,B,B,C,B,A,B,A,C,C,11.20,394.30,0.00,49.00,30.00,0.17,17.30,304.90,20.70,0.22,30.84,20.10,"Develops software for digital and application performance management","Packaged Software",336,41,89,29,116
DVA,"DaVita Inc.",D,Conservative,F,C,D,D,D,D,B,F,D,A,6.94,13.60,0.00,123.00,65.00,1.61,18.90,2.00,0.70,1.18,-26.87,10.40,"Provides integrated dialysis services for patients suffering from chronic kidney failure","Medical/Nursing Services",61,4,35,8,11
DXC,"DXC Technology Co.",D,Conservative,D,C,F,C,C,C,B,F,B,B,5.23,7.80,0.00,36.00,23.00,0.84,14.00,3.00,-9.70,1.05,24.63,9.40,"Provides technology consulting, outsourcing and support services","Data Processing Services",54,12,33,4,18
DXCM,"DexCom, Inc.",B,Moderate,B,B,B,C,C,C,A,A,C,B,44.01,139.30,0.00,133.00,68.00,0.08,24.50,720.70,14.60,0.15,81.62,28.20,"Manufactures and markets medical devices & glucose monitoring systems","Medical Specialties",246,9,70,5,23
EBC,"Eastern Bankshares, Inc.",D,Conservative,F,C,B,B,B,F,F,B,A,B,2.14,10.08,2.32,22.20,11.45,0.32,-28.14,191.62,4.32,0.34,5.62,5.75,"Operates as a banking holding company whose subsidiaries provide banking services","Regional Banks",243,40,148,114,89
EC,"Ecopetrol SA Sponsored ADR",D,Conservative,D,C,B,C,C,F,D,D,C,A,20.33,2.60,6.00,20.00,9.00,0.86,-13.30,8.00,13.20,0.60,-30.37,-10.00,"Engages in the exploration, development and production of crude oil and natural gas","Integrated Oil",48,14,15,30,33
ECL,"Ecolab Inc.",B,Conservative,B,C,C,C,C,C,C,D,D,B,43.97,40.60,1.00,184.00,131.00,0.82,1.40,3.00,6.40,0.86,5.45,13.70,"Develops and markets cleaning, sanitizing, pest control, maintenance and repair products and services","Chemicals: Specialty",59,3,15,8,19
ED,"Consolidated Edison, Inc.",B,Conservative,A,C,B,C,C,B,C,F,D,B,33.95,20.50,3.00,102.00,79.00,1.47,1.40,3.00,-4.90,1.66,13.08,5.90,"Operates as a holding company which through its subsidiaries provides electric, gas and steam delivery services","Electric Utilities",70,10,41,8,31
EIX,"Edison International",B,Conservative,A,C,B,C,C,C,C,B,F,C,25.90,42.50,4.00,73.00,55.00,1.07,5.20,3.00,-3.90,0.98,-8.48,6.30,"Supplies electricity and operates power facilities","Electric Utilities",70,15,40,34,27
ELV,"Elevance Health, Inc.",B,Conservative,B,C,C,C,C,B,C,F,C,B,110.22,18.70,1.00,547.00,444.00,8.25,0.80,40.00,7.90,9.33,13.05,13.30,"Provides life, hospital and medical insurance plans","Managed Health Care",9,2,5,2,4
ENPH,"Enphase Energy, Inc.",B,Moderate,B,B,A,A,A,B,B,C,C,A,25.06,66.75,0.00,336.00,137.55,0.79,18.56,715.26,62.08,1.20,52.48,24.78,"Develops and manufactures solar micro-inverter systems",Semiconductors,101,19,6,8,24
ENTG,"Entegris, Inc.",D,Conservative,D,C,A,D,D,F,C,D,D,C,12.18,53.14,0.61,140.83,62.71,1.06,6.45,894.42,37.68,0.53,-50.40,13.88,"Manufactures and supplies critical materials for the semiconductor, data storage & pharmaceutical industries",Semiconductors,101,26,11,39,30
EPAM,"EPAM Systems, Inc.",B,Moderate,B,C,C,B,B,D,B,D,C,B,16.13,39.50,0.00,458.00,265.00,2.49,9.40,1.00,3.00,2.37,-4.71,16.10,"Provides software engineering solutions and technology services","Information Technology Services",109,13,61,36,34
EPD,"Enterprise Products Partners L.P.",B,Conservative,A,B,B,B,A,B,C,C,D,A,54.42,10.00,8.00,28.00,23.00,0.60,4.90,14.00,14.80,0.61,2.44,3.10,"Operates pipelines that transports natural gas, crude oil and petrochemicals","Oil & Gas Pipelines",26,2,3,14,17
EPR,"EPR Properties",D,Conservative,D,C,B,C,C,B,D,D,D,C,2.68,17.64,9.00,56.00,35.20,0.48,-18.87,142.14,1.82,0.62,28.13,8.52,"Operates as a real estate investment trust which invests in experiential and education sectors","Real Estate Investment Trusts",209,71,134,16,44
EQH,"Equitable Holdings, Inc.",D,Conservative,D,D,F,F,F,D,D,F,F,A,8.56,5.40,3.00,33.00,23.00,1.36,-11.40,3.00,-14.80,1.32,-3.05,15.20,"Provides various financial services","Financial Conglomerates",416,6,15,6,5
EQR,"Equity Residential",D,Conservative,F,C,C,D,D,C,B,D,D,C,21.79,28.03,4.00,93.24,57.50,0.19,10.98,702.46,7.52,0.32,68.36,-2.14,"Operates as a real estate investment trust","Real Estate Investment Trusts",209,12,92,9,88
EQT,"EQT Corporation",B,Moderate,B,C,D,B,C,F,D,D,A,B,10.73,7.10,2.00,51.00,27.00,0.81,-21.80,1.00,22.40,1.62,100.34,31.40,"Supplies, transmits and distributes natural gas","Oil & Gas Production",47,12,7,2,5
ERIE,"Erie Indemnity Company Class A",A,Conservative,A,C,C,B,B,C,D,D,C,B,10.68,40.45,2.00,282.39,160.30,1.31,-5.30,705.00,4.89,1.56,19.08,13.50,"Provides property and casualty insurance services","Property/Casualty Insurance",36,9,17,7,20
ESLT,"Elbit Systems Ltd",D,Conservative,D,D,D,D,C,C,F,D,D,B,7.61,27.60,1.00,244.00,163.00,0.18,-33.70,1.00,0.50,1.96,988.89,13.90,"Manufactures airborne, ground and command, control and communication electronic systems","Aerospace & Defense",62,17,40,1,21
ESS,"Essex Property Trust, Inc.",D,Conservative,F,C,C,A,B,D,A,D,D,C,13.39,32.98,4.00,359.31,205.90,1.12,111.12,411.69,8.56,1.28,14.50,0.64,"Operates as a real estate investment trust which owns, acquires and manages apartment communities","Real Estate Investment Trusts",209,22,86,25,73
ET,"Energy Transfer LP",A,Conservative,A,C,C,B,B,C,D,A,D,B,37.10,8.60,7.00,14.00,10.00,0.37,-12.20,22.00,7.90,0.38,3.53,3.10,"Provides natural gas pipeline transportation and transmission services","Oil & Gas Pipelines",26,4,9,13,18
ETN,"Eaton Corp. Plc",B,Conservative,B,C,C,B,B,B,C,F,C,B,63.71,26.10,2.00,178.00,125.00,1.62,0.60,5.00,7.60,1.77,9.35,9.40,"Designs, manufactures, markets and services electrical systems and components for power quality, distribution and control","Electrical Products",57,1,19,8,11
EVTC,"EVERTEC, Inc.",D,Conservative,D,C,C,C,C,C,C,D,B,A,2.14,9.45,0.62,42.64,30.67,0.70,0.32,152.16,1.27,0.60,-13.60,7.77,"Provides payment processing services","Regional Banks",243,41,162,155,72
EXC,"Exelon Corporation",B,Conservative,B,C,F,A,B,C,C,D,F,B,41.89,19.20,3.00,50.00,36.00,0.64,0.10,5.00,-1.00,0.66,3.02,6.30,"Purchases, transmits and distributes electricity","Electric Utilities",70,8,34,18,28
EXPI,"eXp World Holdings, Inc.",D,Moderate,D,D,F,F,F,F,F,A,B,C,1.81,121.40,2.00,25.00,10.00,0.06,-73.40,861.20,-14.80,-0.05,-189.89,-6.90,"Operates as a development stage company","Financial Conglomerates",416,9,14,11,14
EYE,"National Vision Holdings, Inc.",F,Conservative,F,D,D,F,F,F,F,A,C,C,1.37,43.28,0.00,45.53,17.35,0.33,-219.84,554.33,5.04,0.29,-12.69,18.59,"Operates retail locations offering eye exams, eyeglasses and contact lenses","Specialty Stores",80,36,24,21,11
FAF,"First American Financial Corporation",D,Conservative,D,D,F,D,D,D,F,D,D,C,5.30,21.18,3.94,68.55,44.26,0.88,-58.32,1543.51,-24.11,0.66,-25.57,68.14,"Provides insurance and financial services","Specialty Insurance",13,3,5,3,1
FANG,"Diamondback Energy, Inc.",B,Conservative,B,C,D,B,B,D,C,F,C,A,22.14,5.00,2.00,167.00,107.00,5.20,1.50,2.00,-13.60,4.93,-5.21,-1.50,"Engages in acquisition, development, exploration and exploitation of onshore oil and natural gas properties","Oil & Gas Production",47,10,22,10,25
FBK,"FB Financial Corporation",D,Conservative,D,C,C,C,C,D,B,D,B,B,1.47,11.90,1.00,46.00,31.00,0.74,7.90,131.80,0.50,0.75,1.64,4.10,"Operates as a bank holding company whose subsidiary functions as national bank","Major Banks",89,55,67,50,48
FCNCA,"First Citizens BancShares, Inc. Class A",D,Conservative,D,C,A,C,B,D,D,F,D,B,7.38,7.54,0.28,873.76,509.06,18.95,-8.89,1119.99,20.56,21.16,11.65,8.83,"Operates as a bank holding company whose subsidiary provides banking services","Regional Banks",243,11,72,100,62
FDS,"FactSet Research Systems Inc.",B,Conservative,B,B,B,B,B,B,B,F,C,A,15.51,37.00,1.00,472.00,349.00,3.27,10.30,515.50,19.60,3.69,12.74,10.80,"Provides on-line integrated database services to the global financial community","Data Processing Services",54,6,5,9,15
FDX,"FedEx Corporation",B,Conservative,B,C,D,C,C,B,A,F,D,B,70.06,17.30,2.00,243.00,143.00,6.87,25.60,22.00,-6.30,4.74,-31.00,4.50,"Provides a broad portfolio of transportation, e-commerce and business services under the FedEx brand","Air Freight/Couriers",17,2,8,5,5
FFIN,"First Financial Bankshares Inc",D,Conservative,F,C,B,B,B,C,C,C,C,A,4.29,18.50,2.00,47.00,30.00,0.39,0.00,132.10,1.30,0.39,0.85,2.70,"Operates as a bank holding company whose subsidiary provides banking services","Major Banks",89,37,65,53,54
FFIV,"F5, Inc.",D,Conservative,D,C,D,C,C,C,C,F,B,B,8.46,28.30,0.00,216.00,134.00,2.13,6.00,698.90,10.20,2.42,13.59,13.70,"Manufactures Internet-based software","Packaged Software",336,56,150,45,138
FICO,"Fair Isaac Corporation",B,Conservative,A,C,C,B,B,C,C,F,C,F,16.48,43.80,0.00,705.00,341.00,4.68,1.70,373.20,4.50,5.06,8.15,15.40,"Provides enterprise decision management solutions","Packaged Software",336,31,186,53,131
FISV,"Fiserv, Inc.",B,Conservative,A,B,C,A,A,B,C,D,C,B,68.15,27.69,0.00,118.26,88.38,1.40,0.09,4165.82,6.65,1.57,12.25,13.32,"Provides point-of-sale merchant acquiring, digital commerce and mobile payment services and develops omnichannel commerce ecosystem, point-of-sale and business management platform","Regional Banks",243,3,132,96,28
FITB,"Fifth Third Bancorp",D,Conservative,F,C,B,B,B,D,C,D,B,B,17.05,7.45,3.84,47.41,24.95,0.68,1.73,2246.10,19.35,0.82,20.73,6.14,"Operates as a bank holding company whose subsidiary provides commercial banking, consumer lending and wealth management services","Regional Banks",243,6,76,78,86
FIVE,"Five Below, Inc.",B,Conservative,A,C,C,B,B,C,C,D,C,A,10.74,41.20,0.00,210.00,113.00,0.59,0.20,729.50,14.00,0.63,7.48,22.10,"Retails clothing and other accessories for teens","Discount Stores",4,3,1,1,1
FNF,"Fidelity National Financial, Inc. - FNF Group",D,Conservative,D,D,F,D,D,D,D,F,D,A,8.74,7.88,4.70,50.35,32.11,1.32,-8.00,2397.07,-34.04,0.82,-37.69,1.39,"Provides insurance, mortgage and claims management services","Specialty Insurance",13,1,7,5,4
FORM,"FormFactor, Inc.",D,Conservative,D,C,F,F,F,D,A,C,B,C,2.25,46.10,0.00,44.00,18.00,0.49,53.80,162.60,-17.60,0.13,-72.90,21.70,"Designs, develops, manufactures, sells and supports semiconductor wafer probe card products and solutions","Electronic Production Equipment",30,15,23,18,8
FOX,"Fox Corporation Class B",D,Conservative,D,C,C,C,C,C,C,C,A,B,16.14,11.10,2.00,38.00,27.00,0.81,1.90,4.00,17.10,0.92,12.97,13.30,"Provides television production and broadcasting services",Broadcasting,22,2,2,2,8
FRC,"First Republic Bank",F,Conservative,F,C,A,C,C,F,C,F,A,B,4.22,2.79,0.85,170.53,23.03,2.00,4.93,1318.19,-5.57,1.29,-35.35,5.87,"Provides state chartered commercial banking services","Regional Banks",243,21,175,180,88
FTNT,"Fortinet, Inc.",B,Conservative,B,B,B,B,A,B,B,A,C,F,47.84,57.30,0.00,69.00,46.00,0.19,12.70,1.00,25.90,0.29,52.85,20.00,"Provides threat management and network security solutions","Computer Communications",17,1,5,1,5
FTV,"Fortive Corp.",B,Conservative,B,B,C,A,A,B,C,C,C,B,22.56,30.50,0.00,70.00,54.00,0.70,4.30,1.00,3.10,0.73,3.91,9.20,"Owns and operates industrial units that manufacture testing and measurement equipment","Electronic Equipment/Instruments",38,4,19,10,17
GGG,"Graco Inc.",B,Conservative,B,C,D,B,B,B,C,D,C,A,11.28,25.20,1.00,72.00,57.00,0.57,6.40,501.70,1.50,0.62,8.86,7.80,"Manufactures commercial fluid control systems and air compressors","Industrial Machinery",85,14,49,11,41
GIB,"CGI Inc. Class A",B,Conservative,A,C,D,B,C,B,C,D,C,A,21.48,19.00,0.00,94.00,74.00,1.19,4.50,2.00,4.60,1.28,7.29,8.90,"Provides information technology consulting services","Miscellaneous Commercial Services",167,9,59,20,65
GILD,"Gilead Sciences, Inc.",A,Conservative,A,B,D,A,A,B,B,C,C,A,96.41,21.20,3.00,89.00,58.00,2.12,10.00,6.00,-4.40,1.55,-26.90,1.30,"Discovers, develops and commercializes therapeutic products and treatments for life threatening diseases",Biotechnology,335,2,89,6,13
GIS,"General Mills, Inc.",A,Conservative,A,C,C,B,B,B,C,D,C,A,47.09,16.70,3.00,88.00,62.00,0.84,3.30,4.00,9.10,0.92,9.29,5.70,"Manufactures and markets consumer food products","Food: Major Diversified",11,1,3,2,5
GL,"Globe Life Inc.",B,Conservative,B,C,D,B,B,A,C,F,C,B,10.16,14.10,1.00,123.00,88.00,1.70,2.80,1.00,4.50,2.48,45.78,13.60,"Provides health insurance and asset management services","Life/Health Insurance",15,2,4,2,6
GLOB,"Globant SA",D,Conservative,D,C,B,B,B,D,C,D,C,B,6.28,41.80,0.00,276.00,149.00,1.19,1.80,472.10,17.60,1.28,7.42,21.30,"Provides software development solutions","Information Technology Services",109,25,11,23,28
GLPI,"Gaming and Leisure Properties, Inc.",B,Conservative,A,B,C,A,A,B,B,C,D,A,12.98,18.51,5.00,54.92,42.50,0.48,19.74,347.12,10.21,0.69,44.14,0.99,"Operates as a self-administered and self-managed real estate investment trust","Real Estate Investment Trusts",209,23,74,13,70
GMAB,"Genmab A/S Sponsored ADR",B,Conservative,B,C,A,D,C,F,F,B,C,A,23.44,30.00,0.00,47.00,27.00,0.10,-63.00,405.30,36.70,0.10,3.74,16.00,"Develops differentiated antibody therapeutics for treatment of cancer","Pharmaceuticals: Major",442,18,63,16,42
GNRC,"Generac Holdings Inc.",D,Moderate,F,D,D,D,D,D,C,F,C,B,6.95,20.80,0.00,324.00,90.00,2.09,1.50,848.20,-25.30,0.52,-75.35,7.20,"Manufactures automatic, stationary and portable generators","Electrical Products",57,6,34,15,17
GOOG,"Alphabet Inc. Class C",D,Conservative,D,C,D,C,C,C,D,D,C,A,1316.51,22.80,0.00,144.00,83.00,1.23,-10.80,68.00,1.30,1.08,-12.13,17.30,"Operates as a holding company with interests in software, health care, transportation and other technologies","Internet Software/Services",119,1,40,16,30
GPC,"Genuine Parts Company",A,Conservative,A,C,B,C,C,B,B,F,C,A,22.84,19.50,2.06,187.28,125.93,1.86,8.07,5676.07,7.20,2.03,9.17,6.93,"Distributes automotive and industrial replacement parts","Wholesale Distributors",50,4,16,9,15
GSBD,"Goldman Sachs BDC, Inc",D,Conservative,D,C,C,D,D,A,A,B,D,C,1.39,25.10,13.00,20.00,14.00,0.49,30.00,104.90,34.00,0.53,8.11,-6.20,"Acts as Private Equity Fund","Investment Managers",84,37,19,29,72
GTLS,"Chart Industries, Inc.",D,Moderate,D,C,B,A,F,D,C,C,C,C,4.30,239.40,0.00,239.00,103.00,0.65,1.20,458.90,29.60,0.36,-43.96,43.60,"Manufactures engineered equipment for the industrial gas, energy and biomedical industries","Industrial Machinery",85,27,11,47,8
GWW,"W.W. Grainger, Inc.",A,Conservative,A,B,C,B,B,A,C,F,C,A,33.35,21.95,1.22,700.40,442.09,7.07,1.89,4079.36,11.86,8.50,20.27,10.04,"Distributes maintenance, repair and operating (MRO) products","Wholesale Distributors",50,1,10,6,10
GXO,"GXO Logistics Inc",D,Moderate,D,C,C,C,C,D,B,C,D,C,5.22,26.30,0.00,79.00,33.00,0.59,13.30,2.00,10.00,0.47,-21.09,9.10,"Provides logistics services","Air Freight/Couriers",17,6,4,2,4
HAIN,"Hain Celestial Group, Inc.",D,Conservative,F,C,D,D,D,C,A,A,B,C,1.50,33.30,0.00,35.00,15.00,0.33,52.10,483.40,-3.90,0.16,-52.41,7.70,"Manufactures and distributes organic snack food and personal care products","Food: Major Diversified",11,5,10,7,3
HAS,"Hasbro, Inc.",F,Conservative,F,D,F,F,F,D,D,D,D,C,6.63,32.89,4.81,94.15,47.15,0.57,-1.46,877.12,-24.59,0.12,-79.78,10.49,"Designs, manufactures and markets games and toys","Recreational Products",25,1,15,12,5
HASI,"Hannon Armstrong Sustainable Infrastructure Capita",D,Conservative,D,C,C,F,F,B,D,B,D,C,2.17,52.55,5.00,48.59,22.10,0.52,-3.19,36.49,14.65,0.53,2.21,7.47,"Functions as a real estate investment trust","Real Estate Investment Trusts",209,81,54,40,50
HAYW,"Hayward Holdings, Inc.",D,Conservative,D,D,F,D,D,F,D,D,C,B,2.41,14.75,0.00,17.90,8.13,0.35,-11.10,212.83,-48.15,0.06,-83.45,2.18,"Engages in the manufacture and sale of pool equipment and associated automation systems","Recreational Products",25,8,19,14,11
HCA,"HCA Healthcare Inc",B,Conservative,B,C,D,B,B,D,D,F,C,F,69.53,13.00,1.00,275.00,166.00,4.12,-3.10,15.00,2.30,3.94,-4.26,9.30,"Provides health care services","Hospital/Nursing Management",15,1,8,6,5
HEI,"HEICO Corporation",B,Conservative,A,C,B,C,B,C,D,D,C,B,22.36,64.10,0.00,177.00,128.00,0.62,-3.10,671.80,24.70,0.73,17.14,14.50,"Designs, manufactures and markets aerospace products and services","Aerospace & Defense",62,9,12,11,19
HELE,"Helen of Troy Limited",F,Conservative,F,C,F,C,C,B,C,F,B,B,2.18,14.90,0.00,220.00,84.00,2.51,5.90,457.90,-21.30,1.87,-25.50,-4.10,"Designs, manufactures and distributes home and outdoor products","Home Furnishings",21,3,12,6,15
HES,"Hess Corporation",B,Conservative,A,B,A,A,A,F,B,F,D,A,36.23,16.50,1.00,160.00,94.00,1.30,9.40,2.00,5.00,1.47,12.81,15.40,"Explores, produces, purchases, transports, and sells crude oil, natural gas liquids, and natural gas","Oil & Gas Production",47,7,12,6,11
